sample_name	painting_id	proportion_Black	proportion_White	proportion_Blue	proportion_Red	proportion_Yellow	proportion_Other
1	1	0.125	0.243	0.153	0.031	0.181	0.266
2	2	0.14300000000000002	0.224	0.111	0.051	0.159	0.313
3	3	0.147	0.231	0.058	0.129	0.133	0.303
4	4	0.16399999999999998	0.209	0.12	0.047	0.17800000000000002	0.282
5	5	0.197	0.151	0.132	0.033	0.188	0.299
6	6	0.157	0.256	0.07200000000000001	0.116	0.153	0.246
7	7	0.153	0.232	0.101	0.062	0.17	0.282
8	8	0.115	0.249	0.17600000000000002	0.025	0.17600000000000002	0.259
9	9	0.17800000000000002	0.16699999999999998	0.048	0.14300000000000002	0.118	0.34700000000000003
10	10	0.16399999999999998	0.183	0.158	0.027000000000000003	0.18600000000000005	0.281
11	11	0.175	0.211	0.07	0.104	0.157	0.28300000000000003
12	12	0.168	0.192	0.12	0.044	0.171	0.305
13	13	0.155	0.251	0.091	0.085	0.161	0.257
14	14	0.126	0.273	0.045	0.156	0.131	0.269
15	15	0.199	0.17	0.08	0.076	0.158	0.318
16	16	0.163	0.196	0.107	0.054000000000000006	0.14400000000000002	0.335
17	17	0.136	0.185	0.162	0.02	0.193	0.304
18	18	0.184	0.152	0.11	0.039	0.165	0.35
19	19	0.16899999999999998	0.207	0.111	0.057	0.156	0.3
20	20	0.146	0.24	0.141	0.038	0.184	0.25
21	21	0.2	0.172	0.059	0.12	0.136	0.313
22	22	0.135	0.225	0.217	0.019	0.187	0.217
