"Sample ID"	Current_Natural_Log_Ratio	age	age
10422.21.F.3	-6.082979655943756	11	11
10422.28.F.9	4.656134854955652	14	14
10422.24.F.10	-4.964397425602968	14.5	14.5
10422.21.F.10	null	14.5	14.5
10422.27.F.8	2.9372586569786705	13.5	13.5
10422.19.F.4	-6.411818267709897	11.5	11.5
10422.31.F.9	null	14	14
10422.19.F.11	null	15	15
10422.19.F.3	-2.581134681882554	11	11
10422.30.F.13	-3.1179499062782403	16	16
10422.21.F.4	-4.293498957166287	11.5	11.5
10422.25.F.5	4.971154603174091	12	12
10422.25.F.13	5.345172609516321	16	16
10422.20.F.13	-2.3795461341301736	16	16
10422.23.F.9	-4.1168174180741595	14	14
10422.31.F.7	null	13	13
10422.17.F.12	-2.6855773452501515	15.5	15.5
10422.31.F.10	-5.151845462647779	14.5	14.5
10422.27.F.6	-0.3908663086870119	12.5	12.5
10422.18.F.12	-2.751535313041949	15.5	15.5
10422.28.F.7	4.907105041950192	13	13
10422.22.F.1	null	10	10
10422.29.F.11	-1.9095425048844386	15	15
10422.20.F.5	null	12	12
10422.17.F.3	null	11	11
10422.26.F.11	4.353431560605458	15	15
10422.17.F.4	-3.844327992656795	11.5	11.5
10422.29.F.8	-2.675789338883989	13.5	13.5
10422.32.F.12	-3.6480574595936814	15.5	15.5
10422.22.F.6	-6.602587892189337	12.5	12.5
10422.30.F.8	-5.303304908059076	13.5	13.5
10422.26.F.9	3.443380432995297	14	14
10422.18.F.5	null	12	12
10422.27.F.12	2.6467329196273797	15.5	15.5
10422.26.F.7	3.4718635705687646	13	13
10422.30.F.6	-3.3599544231281064	12.5	12.5
10422.22.F.8	-6.481883361096309	13.5	13.5
10422.22.F.12	null	15.5	15.5
10422.29.F.6	-3.0951661705421776	12.5	12.5
10422.28.F.12	5.3434443669330065	15.5	15.5
10422.32.F.2	0.287682072451781	10.5	10.5
10422.32.F.5	-5.153291594497778	12	12
10422.24.F.4	-4.83854691358233	11.5	11.5
10422.29.F.1	null	10	10
10422.28.F.6	6.554780962261418	12.5	12.5
10422.25.F.3	3.752462032872641	11	11
10422.18.F.13	-0.1466034741918758	16	16
10422.27.F.7	3.313428141809423	13	13
10422.31.F.6	-5.499624223253072	12.5	12.5
10422.17.F.13	-2.2900063107871858	16	16
10422.31.F.11	null	15	15
10422.23.F.8	-6.608675161577986	13.5	13.5
10422.20.F.12	-3.828641396489095	15.5	15.5
10422.25.F.12	5.254813206807842	15.5	15.5
10422.25.F.4	2.984938644879221	11.5	11.5
10422.28.F.1	0	10	10
10422.21.F.5	-4.411585436915426	12	12
10422.19.F.2	null	10.5	10.5
10422.19.F.10	-4.4168305568685735	14.5	14.5
10422.23.F.6	-6.603401672242383	12.5	12.5
10422.31.F.8	-5.861735440433199	13.5	13.5
10422.27.F.9	2.2043420451050837	14	14
10422.19.F.5	null	12	12
10422.21.F.11	-4.516101357928451	15	15
10422.28.F.8	5.566363464482958	13.5	13.5
10422.24.F.11	-5.576580217083325	15	15
